OTU,Kingdom,Phylum,Class ,Order,Family,Genus,Species
Otu0098,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0099,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0100,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0101,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0102,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0103,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0104,Archaea(100),Thaumarchaeota(100),Marine_Benthic_Group_B(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),Marine_Benthic_Group_B_unclassified(100),
Otu0105,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),AMOS1A-4113-D04(92),AMOS1A-4113-D04_unclassified(92),
Otu0106,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0107,Archaea(100),Euryarchaeota(100),Thermoplasmata(100),Thermoplasmatales(100),Marine_Benthic_Group_D_and_DHVEG-1(100),Marine_Benthic_Group_D_and_DHVEG-1_unclassified(100),
Otu0108,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanospirillaceae(100),Methanospirillum(100),
Otu0109,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0110,Archaea(100),Thaumarchaeota(100),Group_C3(100),Group_C3_unclassified(100),Group_C3_unclassified(100),Group_C3_unclassified(100),
Otu0111,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0112,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0113,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0114,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0115,Archaea(100),Euryarchaeota(100),Methanomicrobia(100),Methanomicrobiales(100),Methanospirillaceae(100),Methanospirillum(100),
Otu0116,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0117,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0118,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0119,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0120,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Unknown_Order(100),Unknown_Family(100),Candidatus_Nitrososphaera(100),
Otu0121,Archaea(100),Woesearchaeota_(DHVEG-6)(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),Woesearchaeota_(DHVEG-6)_unclassified(100),
Otu0122,Archaea(100),Thaumarchaeota(100),Soil_Crenarchaeotic_Group(SCG)(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),Soil_Crenarchaeotic_Group(SCG)_unclassified(100),
Otu0123,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
Otu0124,Archaea(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),Archaea_unclassified(100),
