,M_01A_001,M_01B_002,M_01C_003,M_02A_004,M_02B_005,M_02C_006,M_02D_007,M_03A_008,M_03B_009,M_03C_010,M_04A_011,M_04B_014,M_04C_017,M_05A_020,M_05C_022,M_06A_023,M_06B_024,M_06C_025,M_07B_027,M_07C_028,M_08A_029,M_08B_030,M_08C_031,M_09A_032,M_09B_033,M_09C_034,M_10A_035,M_10B_036,M_10C_037,M_11A_038,M_11B_039,M_11C_040,M_12A_041,M_12B_042,M_12C_043,M_13A_044,M_13B_045,M_13C_046,M_14A_047,M_14B_048,M_14C_049,M_15A_050,M_15B_051,M_15C_052
Otu0057,0,8,0,13,0,5,0,1,0,0,7,3,5,0,0,0,2,0,0,0,2,0,0,0,2,1,2,2,2,29,4,52,0,0,0,0,0,0,0,2,0,0,0,0
Otu0058,0,2,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,18,6,10,0,0,0,6,0,0,0,0,0,0,0,0
Otu0059,2,1,0,10,0,0,2,0,1,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,46,0,0,0,0,0,0,0,0,0,0,0,0
Otu0060,1,9,0,32,0,1,0,5,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,19,22,0,0,0,0,0,0,0,0,0,0,0,1
Otu0061,3,3,3,23,0,1,0,0,0,1,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,1,1,0,0,22,4,42,0,0,2,1,0,0,0,0,0,0,0,0
Otu0062,8,26,0,11,0,0,0,0,2,1,0,0,0,2,2,0,0,0,3,3,4,0,1,0,5,0,0,0,0,10,6,8,0,1,0,0,0,0,0,0,0,0,0,0
Otu0063,0,6,0,14,0,0,0,0,0,4,4,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,17,3,51,0,0,0,0,0,1,3,0,0,0,0,0
Otu0064,5,15,2,22,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,21,7,24,0,0,0,0,0,0,0,0,0,0,0,0
Otu0065,0,3,0,10,0,0,0,0,1,3,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,15,0,0,0,0,0,0,0,0,0,0,0,1
Otu0066,4,8,0,26,0,0,0,3,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,4,21,1,1,0,0,0,0,0,1,0,0,0,0
Otu0067,2,7,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,14,56,1,0,0,0,0,0,0,0,0,0,0,0
Otu0068,0,2,0,8,0,2,0,0,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,2,13,0,0,0,0,0,0,2,0,0,0,0,0
Otu0069,5,28,4,18,0,2,0,0,0,1,1,1,0,0,2,3,0,0,7,3,6,0,0,0,0,0,0,0,0,8,0,9,0,0,2,0,0,0,0,0,0,0,0,0
Otu0070,0,6,0,17,3,0,0,4,2,7,16,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,12,2,0,0,0,0,0,4,6,0,2,4,2
Otu0071,0,5,0,18,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,6,26,0,0,0,0,0,0,0,0,0,0,0,0
Otu0072,0,5,0,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,38,12,12,0,0,0,0,0,0,0,0,0,0,0,0
Otu0073,6,20,0,17,0,0,0,0,0,1,0,0,1,5,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,24,3,12,0,0,0,0,0,0,2,0,0,0,0,0
Otu0074,4,6,0,3,0,6,0,0,1,4,2,2,1,0,0,0,1,0,0,0,1,0,1,3,0,1,0,0,0,10,5,13,0,1,0,0,0,0,1,1,0,0,0,0
